date,price,quantity_sold,demand,day_of_week,promotion_flag
2022-01-03,2.65,149,151,Monday,1
2022-01-03,4.44,95,98,Monday,0
2022-01-03,2.99,86,101,Monday,0
2022-01-03,5.15,102,110,Monday,0
2022-01-03,4.83,90,105,Monday,0
2022-01-03,3.78,139,151,Monday,1
2022-01-03,3.71,89,98,Monday,0
2022-01-03,4.2,126,145,Monday,1
2022-01-03,3.64,85,100,Monday,0
2022-01-03,2.8,90,96,Monday,0
2022-01-03,4.6,103,105,Monday,0
2022-01-03,2.62,101,105,Monday,0
2022-01-03,3.95,90,96,Monday,0
2022-01-03,2.42,145,153,Monday,1
2022-01-03,2.89,130,151,Monday,1
2022-01-03,4.35,153,153,Monday,1
2022-01-03,4.01,83,92,Monday,0
2022-01-03,2.59,136,152,Monday,1
2022-01-04,3.46,125,145,Tuesday,1
2022-01-04,3.5,73,85,Tuesday,0
2022-01-04,4.26,144,151,Tuesday,1
2022-01-04,3.53,101,101,Tuesday,0
2022-01-04,4.63,93,96,Tuesday,0
2022-01-04,2.55,96,101,Tuesday,0
2022-01-04,3.16,87,101,Tuesday,0
2022-01-04,2.67,134,147,Tuesday,1
2022-01-04,4.58,87,98,Tuesday,0
2022-01-04,4.32,99,110,Tuesday,0
2022-01-04,3.37,105,107,Tuesday,0
2022-01-04,4.79,101,103,Tuesday,0
2022-01-04,3.53,89,100,Tuesday,0
2022-01-04,2.5,129,151,Tuesday,1
2022-01-04,2.71,96,108,Tuesday,0
2022-01-04,3.65,157,158,Tuesday,1
2022-01-04,4.1,89,101,Tuesday,0
2022-01-04,2.82,91,94,Tuesday,0
2022-01-04,3.65,142,158,Tuesday,1
2022-01-04,3.15,93,104,Tuesday,0
2022-01-04,5.06,96,99,Tuesday,0
2022-01-04,3.29,147,150,Tuesday,1
2022-01-04,3.87,91,102,Tuesday,0
2022-01-04,5.22,103,108,Tuesday,0
2022-01-04,3.32,90,101,Tuesday,0
2022-01-04,3.07,90,101,Tuesday,0
2022-01-04,2.6,93,98,Tuesday,0
2022-01-04,3.08,87,97,Tuesday,0
2022-01-04,4.84,91,97,Tuesday,0
2022-01-04,3.98,88,102,Tuesday,0
2022-01-04,5.09,91,96,Tuesday,0
2022-01-04,2.92,99,112,Tuesday,0
2022-01-04,2.44,152,156,Tuesday,1
2022-01-04,3,138,148,Tuesday,1
2022-01-04,3.26,85,97,Tuesday,0
2022-01-04,2.7,133,155,Tuesday,1
2022-01-04,4.36,90,96,Tuesday,0
2022-01-04,2.22,140,147,Tuesday,1
2022-01-04,3.89,153,154,Tuesday,1
2022-01-04,3.3,140,150,Tuesday,1
2022-01-04,3.06,90,103,Tuesday,0
2022-01-04,4.82,92,94,Tuesday,0
2022-01-04,2.87,96,97,Tuesday,0
2022-01-04,3.86,95,105,Tuesday,0
2022-01-04,3.68,80,94,Tuesday,0
2022-01-04,5.18,88,102,Tuesday,0
2022-01-04,3.75,82,95,Tuesday,0
2022-01-04,4.43,86,96,Tuesday,0
2022-01-04,3.46,135,154,Tuesday,1
2022-01-04,4.77,94,103,Tuesday,0
2022-01-05,3.42,95,102,Wednesday,0
2022-01-05,3.2,100,100,Wednesday,0
2022-01-05,4.81,103,109,Wednesday,0
2022-01-05,4.71,93,108,Wednesday,0
2022-01-05,3.47,147,157,Wednesday,1
2022-01-05,4.03,89,94,Wednesday,0
2022-01-05,5.47,106,107,Wednesday,0
2022-01-05,4.88,89,101,Wednesday,0
2022-01-05,2.12,137,154,Wednesday,1
2022-01-05,3.94,95,100,Wednesday,0
2022-01-05,3.64,103,111,Wednesday,0
2022-01-05,3.14,135,153,Wednesday,1
2022-01-05,4.85,95,106,Wednesday,0
2022-01-05,2.77,90,100,Wednesday,0
2022-01-05,3.12,84,99,Wednesday,0
2022-01-05,4.52,98,105,Wednesday,0
2022-01-05,4.97,99,103,Wednesday,0
2022-01-05,5.14,87,100,Wednesday,0
2022-01-05,3.98,144,154,Wednesday,1
2022-01-05,4.57,89,96,Wednesday,0
2022-01-05,3.84,91,91,Wednesday,0
2022-01-05,3.33,88,94,Wednesday,0
2022-01-05,5.05,96,99,Wednesday,0
2022-01-05,4.25,92,105,Wednesday,0
2022-01-05,3.7,140,150,Wednesday,1
2022-01-05,2.6,95,101,Wednesday,0
2022-01-05,3.57,98,102,Wednesday,0
2022-01-05,2.26,139,153,Wednesday,1
2022-01-05,2.66,92,105,Wednesday,0
2022-01-05,3.7,85,99,Wednesday,0
2022-01-05,3.73,97,102,Wednesday,0
2022-01-05,2.92,93,99,Wednesday,0
2022-01-05,2.19,147,156,Wednesday,1
2022-01-05,5.33,86,100,Wednesday,0
2022-01-05,2.72,86,91,Wednesday,0
2022-01-05,4.47,85,98,Wednesday,0
2022-01-05,2.86,126,146,Wednesday,1
2022-01-05,2.82,147,151,Wednesday,1
2022-01-05,5.19,97,108,Wednesday,0
2022-01-05,5.13,85,96,Wednesday,0
2022-01-05,5.23,94,97,Wednesday,0
2022-01-05,2.62,95,105,Wednesday,0
2022-01-05,4.24,87,99,Wednesday,0
2022-01-05,5.49,89,94,Wednesday,0
2022-01-05,3.6,100,104,Wednesday,0
2022-01-05,3.65,85,95,Wednesday,0
2022-01-05,4.89,84,98,Wednesday,0
2022-01-05,4.63,91,103,Wednesday,0
2022-01-05,5.27,87,102,Wednesday,0
2022-01-05,3.1,148,154,Wednesday,1
2022-01-06,3.49,98,103,Thursday,0
2022-01-06,5.39,99,104,Thursday,0
2022-01-06,2.43,132,153,Thursday,1
2022-01-06,3.03,94,101,Thursday,0
2022-01-06,4.36,87,100,Thursday,0
2022-01-06,3.14,82,93,Thursday,0
2022-01-06,2.77,83,96,Thursday,0
2022-01-06,4.07,90,95,Thursday,0
2022-01-06,2.97,130,150,Thursday,1
2022-01-06,2.72,83,92,Thursday,0
2022-01-06,3.75,149,152,Thursday,1
2022-01-06,2.16,133,148,Thursday,1
2022-01-06,3.48,91,101,Thursday,0
2022-01-06,3.17,89,97,Thursday,0
2022-01-06,4.69,94,101,Thursday,0
2022-01-06,3.8,92,101,Thursday,0
2022-01-06,2.88,138,150,Thursday,1
2022-01-06,2.94,91,102,Thursday,0
2022-01-06,5.41,86,91,Thursday,0
2022-01-06,4.89,86,95,Thursday,0
2022-01-06,4.88,88,103,Thursday,0
2022-01-06,2.79,95,106,Thursday,0
2022-01-06,3.71,139,146,Thursday,1
2022-01-06,2.8,132,149,Thursday,1
2022-01-06,2.88,139,148,Thursday,1
2022-01-06,4.67,85,94,Thursday,0
2022-01-06,3.58,138,149,Thursday,1
2022-01-06,4.32,88,94,Thursday,0
2022-01-06,2.32,145,152,Thursday,1
2022-01-06,3.25,98,100,Thursday,0
2022-01-06,4.02,92,94,Thursday,0
2022-01-06,4.39,83,97,Thursday,0
2022-01-06,2.96,85,95,Thursday,0
2022-01-06,2.75,88,92,Thursday,0
2022-01-06,3.55,91,100,Thursday,0
2022-01-06,4.36,87,100,Thursday,0
2022-01-06,4.14,101,102,Thursday,0
2022-01-06,2.58,87,102,Thursday,0
2022-01-06,3.52,135,144,Thursday,1
2022-01-06,4.09,88,103,Thursday,0
2022-01-06,4.67,93,97,Thursday,0
2022-01-06,4.62,89,97,Thursday,0
2022-01-06,2.86,150,154,Thursday,1
2022-01-06,4.01,142,156,Thursday,1
2022-01-06,2.62,96,105,Thursday,0
2022-01-06,2.95,94,102,Thursday,0
2022-01-06,5.39,93,101,Thursday,0
2022-01-06,3.61,90,96,Thursday,0
2022-01-06,5.14,96,105,Thursday,0
2022-01-06,4.3,98,100,Thursday,0
2022-01-07,4.22,94,99,Friday,0
2022-01-07,3.96,93,106,Friday,0
2022-01-07,3.78,98,106,Friday,0
2022-01-07,3.39,97,101,Friday,0
2022-01-07,2.64,132,148,Friday,1
2022-01-07,4.05,97,104,Friday,0
2022-01-07,4.21,84,96,Friday,0
2022-01-07,2.01,144,152,Friday,1
2022-01-07,3.13,94,99,Friday,0
2022-01-07,2.59,99,104,Friday,0
2022-01-07,4.42,91,104,Friday,0
2022-01-07,3.89,90,101,Friday,0
2022-01-07,3.9,104,104,Friday,0
2022-01-07,4.34,91,94,Friday,0
2022-01-07,2.6,95,99,Friday,0
2022-01-07,3.51,91,95,Friday,0
2022-01-07,3.55,94,103,Friday,0
2022-01-07,4.39,144,147,Friday,1
2022-01-07,2.86,88,99,Friday,0
2022-01-07,4.73,95,100,Friday,0
2022-01-07,2.82,128,150,Friday,1
2022-01-07,5.46,100,103,Friday,0
2022-01-07,4.95,91,93,Friday,0
2022-01-07,2.16,128,149,Friday,1
2022-01-07,4.15,106,108,Friday,0
2022-01-07,4.9,85,98,Friday,0
2022-01-07,3.57,88,102,Friday,0
2022-01-07,2.71,101,102,Friday,0
2022-01-07,4.49,84,92,Friday,0
2022-01-07,4.33,99,102,Friday,0
2022-01-07,2.79,97,101,Friday,0
2022-01-07,3.21,96,103,Friday,0
2022-01-07,2.66,135,144,Friday,1
2022-01-07,2.78,80,92,Friday,0
2022-01-07,4.08,98,100,Friday,0
2022-01-07,3.34,91,103,Friday,0
2022-01-07,4.46,99,112,Friday,0
2022-01-07,4.71,93,101,Friday,0
2022-01-07,4.39,91,107,Friday,0
2022-01-07,3.77,87,95,Friday,0
2022-01-07,5.42,95,99,Friday,0
2022-01-07,5.1,90,93,Friday,0
2022-01-07,3.78,91,98,Friday,0
2022-01-07,3.65,92,103,Friday,0
2022-01-07,5.08,84,96,Friday,0
2022-01-07,3.45,98,104,Friday,0
2022-01-07,4.94,91,99,Friday,0
2022-01-07,2.88,93,101,Friday,0
2022-01-07,4.7,82,96,Friday,0
2022-01-07,2.27,132,151,Friday,1
2022-01-08,4.05,109,128,Saturday,0
2022-01-08,5.16,113,129,Saturday,0
2022-01-08,2.92,121,127,Saturday,0
2022-01-08,4.37,120,133,Saturday,0
2022-01-08,3.29,167,190,Saturday,1
2022-01-08,4.89,125,131,Saturday,0
2022-01-08,3.22,122,127,Saturday,0
2022-01-08,4.6,115,127,Saturday,0
2022-01-08,3.71,159,187,Saturday,1
2022-01-08,2.06,170,198,Saturday,1
2022-01-08,4.86,114,131,Saturday,0
2022-01-08,5.44,118,123,Saturday,0
2022-01-08,3.94,113,123,Saturday,0
2022-01-08,5.4,111,125,Saturday,0
2022-01-08,4.8,122,137,Saturday,0
2022-01-08,4.4,116,123,Saturday,0
2022-01-08,2.68,182,193,Saturday,1
2022-01-08,2.83,178,194,Saturday,1
2022-01-08,4.93,120,130,Saturday,0
2022-01-08,2.9,123,126,Saturday,0
2022-01-08,2.72,132,133,Saturday,0
2022-01-08,4.28,112,124,Saturday,0
2022-01-08,3.51,190,194,Saturday,1
2022-01-08,4.39,115,124,Saturday,0
2022-01-08,4.13,184,196,Saturday,1
2022-01-08,2.2,184,200,Saturday,1
2022-01-08,4.06,192,195,Saturday,1
2022-01-08,4.97,116,127,Saturday,0
2022-01-08,3.25,174,195,Saturday,1
2022-01-08,3.55,180,196,Saturday,1
2022-01-08,3.07,109,124,Saturday,0
2022-01-08,5.39,115,134,Saturday,0
2022-01-08,3.11,117,127,Saturday,0
2022-01-08,3.98,127,134,Saturday,0
2022-01-08,3.32,120,135,Saturday,0
2022-01-08,2.68,114,132,Saturday,0
2022-01-08,2.64,130,137,Saturday,0
2022-01-08,4.96,122,136,Saturday,0
2022-01-08,2.75,167,196,Saturday,1
2022-01-08,2.45,180,201,Saturday,1
2022-01-08,4.25,116,124,Saturday,0
2022-01-08,4.33,115,131,Saturday,0
2022-01-08,2.72,110,126,Saturday,0
2022-01-08,3.82,182,193,Saturday,1
2022-01-08,4.04,124,126,Saturday,0
2022-01-08,3.53,124,125,Saturday,0
2022-01-08,4.64,128,129,Saturday,0
2022-01-08,2.73,103,120,Saturday,0
2022-01-08,3.39,179,196,Saturday,1
2022-01-08,2.51,124,135,Saturday,0
2022-01-09,5.38,121,131,Sunday,0
2022-01-09,3.41,121,128,Sunday,0
2022-01-09,3.93,127,127,Sunday,0
2022-01-09,5.16,118,135,Sunday,0
2022-01-09,3.27,125,130,Sunday,0
2022-01-09,3.8,107,123,Sunday,0
2022-01-09,2.85,124,127,Sunday,0
2022-01-09,3.99,118,128,Sunday,0
2022-01-09,5.13,112,127,Sunday,0
2022-01-09,4.98,116,126,Sunday,0
2022-01-09,3.55,119,125,Sunday,0
2022-01-09,3.45,174,191,Sunday,1
2022-01-09,3.09,180,193,Sunday,1
2022-01-09,3.1,117,134,Sunday,0
2022-01-09,2.78,174,200,Sunday,1
2022-01-09,3.39,109,128,Sunday,0
2022-01-09,4.24,129,131,Sunday,0
2022-01-09,4.55,130,131,Sunday,0
2022-01-09,5.45,118,136,Sunday,0
2022-01-09,2.86,135,135,Sunday,0
2022-01-09,4.25,127,134,Sunday,0
2022-01-09,3.86,118,129,Sunday,0
2022-01-09,2.6,119,128,Sunday,0
2022-01-09,2.86,161,188,Sunday,1
2022-01-09,3.15,120,129,Sunday,0
2022-01-09,2.72,122,131,Sunday,0
2022-01-09,2.59,120,130,Sunday,0
2022-01-09,2.92,112,127,Sunday,0
2022-01-09,2.81,114,132,Sunday,0
2022-01-09,2.95,107,125,Sunday,0
2022-01-09,2.65,107,125,Sunday,0
2022-01-09,3.31,115,132,Sunday,0
2022-01-09,3.32,125,130,Sunday,0
2022-01-09,2.22,175,200,Sunday,1
2022-01-09,5.43,115,122,Sunday,0
2022-01-09,4.92,135,137,Sunday,0
2022-01-09,3.4,131,141,Sunday,0
2022-01-09,4.23,186,203,Sunday,1
2022-01-09,3.99,127,128,Sunday,0
2022-01-09,4.43,118,129,Sunday,0
2022-01-09,3.57,112,128,Sunday,0
2022-01-09,3.73,119,131,Sunday,0
2022-01-09,3.43,177,199,Sunday,1
2022-01-09,5.2,119,126,Sunday,0
2022-01-09,3.15,123,130,Sunday,0
2022-01-09,3.58,110,128,Sunday,0
2022-01-09,3.41,117,129,Sunday,0
2022-01-09,2.85,120,128,Sunday,0
2022-01-09,5.2,116,124,Sunday,0
2022-01-09,5.04,115,133,Sunday,0
2022-01-10,4.59,92,104,Monday,0
2022-01-10,4.74,87,100,Monday,0
2022-01-10,3.69,140,144,Monday,1
2022-01-10,2.55,89,97,Monday,0
2022-01-10,3.22,86,94,Monday,0
2022-01-10,3.42,102,105,Monday,0
2022-01-10,2.57,78,91,Monday,0
2022-01-10,5.24,93,98,Monday,0
2022-01-10,4.12,139,151,Monday,1
2022-01-10,4.18,130,141,Monday,1
2022-01-10,2.78,126,141,Monday,1
2022-01-10,4.02,87,102,Monday,0
2022-01-10,3.86,142,152,Monday,1
2022-01-10,4.17,89,90,Monday,0
2022-01-10,3.53,89,104,Monday,0
2022-01-10,3,96,100,Monday,0
2022-01-10,2.79,85,92,Monday,0
2022-01-10,3.99,83,96,Monday,0
2022-01-10,2.78,99,103,Monday,0
2022-01-10,4.34,98,98,Monday,0
2022-01-10,2.56,87,94,Monday,0
2022-01-10,4.51,99,102,Monday,0
2022-01-10,3.7,149,155,Monday,1
2022-01-10,2.53,132,146,Monday,1
2022-01-10,4.34,83,96,Monday,0
2022-01-10,2.62,91,102,Monday,0
2022-01-10,2.98,145,146,Monday,1
2022-01-10,2.51,138,151,Monday,1
2022-01-10,3.04,84,96,Monday,0
2022-01-10,3.25,93,98,Monday,0
2022-01-10,5.05,101,104,Monday,0
2022-01-10,4.75,88,100,Monday,0
2022-01-10,5.31,84,98,Monday,0
2022-01-10,4.82,85,97,Monday,0
2022-01-10,4.09,86,96,Monday,0
2022-01-10,3.89,89,103,Monday,0
2022-01-10,2.73,92,101,Monday,0
2022-01-10,4.59,88,102,Monday,0
2022-01-10,3.51,100,104,Monday,0
2022-01-10,3.44,145,146,Monday,1
2022-01-10,3.5,135,152,Monday,1
2022-01-10,2.97,86,95,Monday,0
2022-01-10,4.5,107,108,Monday,0
2022-01-10,4.69,79,92,Monday,0
2022-01-10,2.74,138,147,Monday,1
2022-01-10,4.79,82,90,Monday,0
2022-01-10,4.34,145,151,Monday,1
2022-01-10,3.98,97,98,Monday,0
2022-01-10,2.7,81,95,Monday,0
2022-01-10,2.65,89,97,Monday,0
2022-01-11,2.14,135,144,Tuesday,1
2022-01-11,5.02,86,98,Tuesday,0
2022-01-11,5.09,98,101,Tuesday,0
2022-01-11,4.7,89,103,Tuesday,0
2022-01-11,3.93,93,102,Tuesday,0
2022-01-11,3.26,97,105,Tuesday,0
2022-01-11,4.07,93,93,Tuesday,0
2022-01-11,3.2,133,154,Tuesday,1
2022-01-11,4.3,95,98,Tuesday,0
2022-01-11,3.88,138,154,Tuesday,1
2022-01-11,3.14,89,103,Tuesday,0
2022-01-11,2.97,82,90,Tuesday,0
2022-01-11,3.59,100,105,Tuesday,0
2022-01-11,3.37,89,94,Tuesday,0
2022-01-11,4.29,97,107,Tuesday,0
2022-01-11,5.33,85,98,Tuesday,0
2022-01-11,5.42,87,94,Tuesday,0
2022-01-11,3.14,138,151,Tuesday,1
2022-01-11,5.15,90,98,Tuesday,0
2022-01-11,4.04,97,106,Tuesday,0
2022-01-11,4.08,81,94,Tuesday,0
2022-01-11,3.04,140,152,Tuesday,1
2022-01-11,3.13,91,104,Tuesday,0
2022-01-11,3.38,111,112,Tuesday,0
2022-01-11,3.18,95,98,Tuesday,0
2022-01-11,2.8,98,103,Tuesday,0
2022-01-11,5.09,96,99,Tuesday,0
2022-01-11,3.25,138,146,Tuesday,1
2022-01-11,2.74,93,99,Tuesday,0
2022-01-11,4.95,79,93,Tuesday,0
2022-01-11,3.1,99,102,Tuesday,0
2022-01-11,2.83,141,150,Tuesday,1
2022-01-11,4.78,102,104,Tuesday,0
2022-01-11,5.41,89,97,Tuesday,0
2022-01-11,4.32,87,98,Tuesday,0
2022-01-11,2.25,140,148,Tuesday,1
2022-01-11,3.89,84,94,Tuesday,0
2022-01-11,4.23,84,97,Tuesday,0
2022-01-11,4.34,144,145,Tuesday,1
2022-01-11,2.52,90,103,Tuesday,0
2022-01-11,4.71,85,90,Tuesday,0
2022-01-11,4.94,92,107,Tuesday,0
2022-01-11,4.96,91,98,Tuesday,0
2022-01-11,3.77,95,102,Tuesday,0
2022-01-11,5.01,103,109,Tuesday,0
2022-01-11,2.71,84,96,Tuesday,0
2022-01-11,5.13,96,100,Tuesday,0
2022-01-11,3.91,143,151,Tuesday,1
2022-01-11,3.16,127,142,Tuesday,1
2022-01-11,2.86,147,151,Tuesday,1
2022-01-12,3.37,81,94,Wednesday,0
2022-01-12,2.56,98,105,Wednesday,0
2022-01-12,2.76,126,148,Wednesday,1
2022-01-12,2.96,97,103,Wednesday,0
2022-01-12,5.26,86,98,Wednesday,0
2022-01-12,4.85,96,97,Wednesday,0
2022-01-12,5.04,87,94,Wednesday,0
2022-01-12,3.11,92,97,Wednesday,0
2022-01-12,4.37,97,103,Wednesday,0
2022-01-12,5.34,89,104,Wednesday,0
2022-01-12,5.37,82,90,Wednesday,0
2022-01-12,2.44,146,158,Wednesday,1
2022-01-12,3.24,92,102,Wednesday,0
2022-01-12,3.83,93,102,Wednesday,0
2022-01-12,3.89,87,99,Wednesday,0
2022-01-12,4.08,136,144,Wednesday,1
2022-01-12,2.57,147,153,Wednesday,1
2022-01-12,5.46,86,98,Wednesday,0
2022-01-12,4.49,82,94,Wednesday,0
2022-01-12,2.34,140,155,Wednesday,1
2022-01-12,5.06,94,106,Wednesday,0
2022-01-12,2.62,89,104,Wednesday,0
2022-01-12,5.02,93,101,Wednesday,0
2022-01-12,2.64,96,102,Wednesday,0
2022-01-12,3.97,84,96,Wednesday,0
2022-01-12,3.18,87,102,Wednesday,0
2022-01-12,5.02,95,99,Wednesday,0
2022-01-12,4.22,146,146,Wednesday,1
2022-01-12,3.04,83,95,Wednesday,0
2022-01-12,3.82,99,100,Wednesday,0
2022-01-12,2.61,100,100,Wednesday,0
2022-01-12,4.15,88,98,Wednesday,0
2022-01-12,3.92,87,98,Wednesday,0
2022-01-12,5.47,102,102,Wednesday,0
2022-01-12,3.11,97,105,Wednesday,0
2022-01-12,2.66,127,147,Wednesday,1
2022-01-12,2.95,152,159,Wednesday,1
2022-01-12,4.13,93,104,Wednesday,0
2022-01-12,3.83,83,95,Wednesday,0
2022-01-12,4.28,86,95,Wednesday,0
2022-01-12,3.01,137,155,Wednesday,1
2022-01-12,4.35,95,96,Wednesday,0
2022-01-12,4.98,92,102,Wednesday,0
2022-01-12,2.97,106,108,Wednesday,0
2022-01-12,4.12,89,98,Wednesday,0
2022-01-12,3.44,93,104,Wednesday,0
2022-01-12,3.88,99,107,Wednesday,0
2022-01-12,3.82,138,151,Wednesday,1
2022-01-12,3.74,127,141,Wednesday,1
2022-01-12,4.57,89,97,Wednesday,0
2022-01-13,4.22,141,148,Thursday,1
2022-01-13,4.62,79,93,Thursday,0
2022-01-13,3.51,141,151,Thursday,1
2022-01-13,3.26,138,154,Thursday,1
2022-01-13,2.62,137,152,Thursday,1
2022-01-13,3.93,98,98,Thursday,0
2022-01-13,3.52,89,97,Thursday,0
2022-01-13,3.18,101,102,Thursday,0
2022-01-13,3.44,93,99,Thursday,0
2022-01-13,2.46,126,143,Thursday,1
2022-01-13,2.7,84,94,Thursday,0
2022-01-13,5.04,106,108,Thursday,0
2022-01-13,2.72,91,94,Thursday,0
2022-01-13,3.56,100,103,Thursday,0
2022-01-13,5.32,87,100,Thursday,0
2022-01-13,2.83,85,98,Thursday,0
2022-01-13,4.01,143,150,Thursday,1
2022-01-13,4.22,94,97,Thursday,0
2022-01-13,3.13,98,102,Thursday,0
2022-01-13,3.24,87,96,Thursday,0
2022-01-13,2.89,89,105,Thursday,0
2022-01-13,3.32,150,151,Thursday,1
2022-01-13,3.24,88,97,Thursday,0
2022-01-13,2.26,133,149,Thursday,1
2022-01-13,3.2,88,101,Thursday,0
2022-01-13,2.39,148,148,Thursday,1
2022-01-13,4.96,91,101,Thursday,0
2022-01-13,4.25,99,103,Thursday,0
2022-01-13,3.6,90,101,Thursday,0
2022-01-13,4.52,85,99,Thursday,0
2022-01-13,3.49,93,102,Thursday,0
